Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
Nottinghamshire,3,75.0%,1,25.0%,221,80.4%,54,19.6%,47,78.3%,13,21.7%,20,87.0%,3,13.0%,13,76.5%,4,23.5%,172,91.0%,17,9.0%,13,92.9%,1,7.1%,39,86.7%,6,13.3%,116,92.8%,9,7.2%,83,85.6%,14,14.4%,28,84.8%,5,15.2%,169,93.9%,11,6.1%,22,100.0%,Oct.csv 2017
South Wales,2,100.0%,0,0.0%,317,72.4%,121,27.6%,35,77.8%,10,22.2%,36,85.7%,6,14.3%,7,63.6%,4,36.4%,252,96.2%,10,3.8%,11,91.7%,1,8.3%,52,88.1%,7,11.9%,133,96.4%,5,3.6%,122,84.7%,22,15.3%,14,93.3%,1,6.7%,193,89.8%,22,10.2%,14,100.0%,Oct.csv 2017
South Yorkshire,4,80.0%,1,20.0%,268,77.5%,78,22.5%,11,73.3%,4,26.7%,42,93.3%,3,6.7%,8,88.9%,1,11.1%,189,94.0%,12,6.0%,8,100.0%,0,0.0%,55,82.1%,12,17.9%,77,95.1%,4,4.9%,95,89.6%,11,10.4%,20,90.9%,2,9.1%,168,88.0%,23,12.0%,23,100.0%,Oct.csv 2017
Staffordshire,3,100.0%,0,0.0%,177,82.7%,37,17.3%,22,78.6%,6,21.4%,20,100.0%,0,0.0%,3,50.0%,3,50.0%,136,95.1%,7,4.9%,7,87.5%,1,12.5%,38,79.2%,10,20.8%,62,96.9%,2,3.1%,71,89.9%,8,10.1%,18,85.7%,3,14.3%,120,83.3%,24,16.7%,19,100.0%,Oct.csv 2017
Suffolk,0,-,0,-,96,80.0%,24,20.0%,11,91.7%,1,8.3%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,47,94.0%,3,6.0%,7,77.8%,2,22.2%,22,95.7%,1,4.3%,47,95.9%,2,4.1%,34,97.1%,1,2.9%,5,100.0%,0,0.0%,95,90.5%,10,9.5%,4,100.0%,Oct.csv 2017
Surrey,0,-,0,-,131,73.2%,48,26.8%,12,70.6%,5,29.4%,13,92.9%,1,7.1%,1,100.0%,0,0.0%,68,94.4%,4,5.6%,12,85.7%,2,14.3%,19,86.4%,3,13.6%,37,97.4%,1,2.6%,23,88.5%,3,11.5%,9,81.8%,2,18.2%,118,92.9%,9,7.1%,26,100.0%,Oct.csv 2017
Sussex,1,100.0%,0,0.0%,210,76.9%,63,23.1%,27,62.8%,16,37.2%,25,86.2%,4,13.8%,4,80.0%,1,20.0%,122,91.0%,12,9.0%,21,87.5%,3,12.5%,35,89.7%,4,10.3%,72,96.0%,3,4.0%,45,97.8%,1,2.2%,3,100.0%,0,0.0%,204,88.3%,27,11.7%,19,100.0%,Oct.csv 2017
Thames Valley,4,66.7%,2,33.3%,320,83.6%,63,16.4%,46,80.7%,11,19.3%,47,87.0%,7,13.0%,11,61.1%,7,38.9%,232,93.2%,17,6.8%,27,90.0%,3,10.0%,49,81.7%,11,18.3%,114,95.8%,5,4.2%,103,89.6%,12,10.4%,25,89.3%,3,10.7%,287,85.9%,47,14.1%,20,100.0%,Oct.csv 2017
Warwickshire,1,100.0%,0,0.0%,64,84.2%,12,15.8%,2,50.0%,2,50.0%,7,87.5%,1,12.5%,5,100.0%,0,0.0%,56,91.8%,5,8.2%,10,100.0%,0,0.0%,11,91.7%,1,8.3%,13,86.7%,2,13.3%,17,89.5%,2,10.5%,3,60.0%,2,40.0%,54,81.8%,12,18.2%,16,100.0%,Oct.csv 2017
West Mercia,0,-,0,-,217,78.6%,59,21.4%,17,63.0%,10,37.0%,11,91.7%,1,8.3%,3,75.0%,1,25.0%,132,94.3%,8,5.7%,14,82.4%,3,17.6%,25,92.6%,2,7.4%,45,97.8%,1,2.2%,68,90.7%,7,9.3%,13,100.0%,0,0.0%,193,91.5%,18,8.5%,15,100.0%,Oct.csv 2017
West Midlands,6,85.7%,1,14.3%,593,80.5%,144,19.5%,56,68.3%,26,31.7%,73,94.8%,4,5.2%,31,77.5%,9,22.5%,501,93.8%,33,6.2%,60,84.5%,11,15.5%,85,81.0%,20,19.0%,238,93.3%,17,6.7%,213,84.9%,38,15.1%,51,91.1%,5,8.9%,298,89.2%,36,10.8%,66,100.0%,Oct.csv 2017
West Yorkshire,5,100.0%,0,0.0%,402,85.0%,71,15.0%,76,78.4%,21,21.6%,51,86.4%,8,13.6%,21,75.0%,7,25.0%,255,96.2%,10,3.8%,40,85.1%,7,14.9%,80,90.9%,8,9.1%,115,97.5%,3,2.5%,122,91.7%,11,8.3%,19,95.0%,1,5.0%,204,95.3%,10,4.7%,27,100.0%,Oct.csv 2017
Wiltshire,2,100.0%,0,0.0%,109,90.8%,11,9.2%,7,77.8%,2,22.2%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,69,88.5%,9,11.5%,9,81.8%,2,18.2%,14,87.5%,2,12.5%,27,100.0%,0,0.0%,24,92.3%,2,7.7%,3,75.0%,1,25.0%,80,93.0%,6,7.0%,6,100.0%,Oct.csv 2017
National,83,79.8%,21,20.2%,"10,719",79.0%,"2,844",21.0%,"1,060",73.5%,382,26.5%,"1,192",86.9%,179,13.1%,317,71.6%,126,28.4%,"7,846",92.6%,630,7.4%,914,86.9%,138,13.1%,"1,985",86.5%,310,13.5%,"3,930",94.1%,247,5.9%,"3,344",84.5%,612,15.5%,749,86.5%,117,13.5%,"7,913",87.2%,"1,158",12.8%,822,100.0%,Jan.csv 2017
Avon and Somerset,3,75.0%,1,25.0%,275,82.1%,60,17.9%,42,62.7%,25,37.3%,33,89.2%,4,10.8%,3,75.0%,1,25.0%,187,93.5%,13,6.5%,23,76.7%,7,23.3%,59,95.2%,3,4.8%,69,90.8%,7,9.2%,96,86.5%,15,13.5%,6,50.0%,6,50.0%,219,89.0%,27,11.0%,21,100.0%,Jan.csv 2017
Bedfordshire,0,-,0,-,97,88.2%,13,11.8%,3,100.0%,0,0.0%,10,90.9%,1,9.1%,1,50.0%,1,50.0%,59,96.7%,2,3.3%,10,90.9%,1,9.1%,14,82.4%,3,17.6%,25,100.0%,0,0.0%,26,89.7%,3,10.3%,8,100.0%,0,0.0%,109,87.9%,15,12.1%,22,100.0%,Jan.csv 2017
Cambridgeshire,3,100.0%,0,0.0%,126,82.9%,26,17.1%,10,100.0%,0,0.0%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,104,92.9%,8,7.1%,8,100.0%,0,0.0%,22,91.7%,2,8.3%,32,100.0%,0,0.0%,41,95.3%,2,4.7%,9,100.0%,0,0.0%,84,93.3%,6,6.7%,11,100.0%,Jan.csv 2017
Cheshire,2,50.0%,2,50.0%,274,85.1%,48,14.9%,12,60.0%,8,40.0%,17,89.5%,2,10.5%,4,80.0%,1,20.0%,206,96.3%,8,3.7%,8,100.0%,0,0.0%,41,95.3%,2,4.7%,95,97.9%,2,2.1%,107,91.5%,10,8.5%,26,86.7%,4,13.3%,181,89.2%,22,10.8%,15,100.0%,Jan.csv 2017
Cleveland,2,100.0%,0,0.0%,137,77.8%,39,22.2%,3,75.0%,1,25.0%,37,92.5%,3,7.5%,3,50.0%,3,50.0%,198,96.1%,8,3.9%,19,90.5%,2,9.5%,43,84.3%,8,15.7%,76,92.7%,6,7.3%,57,87.7%,8,12.3%,8,100.0%,0,0.0%,74,89.2%,9,10.8%,6,100.0%,Jan.csv 2017
Cumbria,1,100.0%,0,0.0%,137,90.7%,14,9.3%,5,100.0%,0,0.0%,8,88.9%,1,11.1%,4,100.0%,0,0.0%,111,99.1%,1,0.9%,2,100.0%,0,0.0%,27,100.0%,0,0.0%,32,97.0%,1,3.0%,41,87.2%,6,12.8%,9,90.0%,1,10.0%,125,88.0%,17,12.0%,2,100.0%,Jan.csv 2017
Derbyshire,1,100.0%,0,0.0%,181,80.4%,44,19.6%,7,87.5%,1,12.5%,11,64.7%,6,35.3%,2,50.0%,2,50.0%,171,88.6%,22,11.4%,7,87.5%,1,12.5%,51,83.6%,10,16.4%,54,90.0%,6,10.0%,66,86.8%,10,13.2%,18,85.7%,3,14.3%,101,82.1%,22,17.9%,14,100.0%,Jan.csv 2017
Devon and Cornwall,3,75.0%,1,25.0%,209,82.3%,45,17.7%,21,95.5%,1,4.5%,23,88.5%,3,11.5%,4,100.0%,0,0.0%,135,94.4%,8,5.6%,16,94.1%,1,5.9%,43,84.3%,8,15.7%,63,94.0%,4,6.0%,61,88.4%,8,11.6%,7,87.5%,1,12.5%,196,92.9%,15,7.1%,6,100.0%,Jan.csv 2017
Dorset,1,50.0%,1,50.0%,135,89.4%,16,10.6%,6,75.0%,2,25.0%,19,100.0%,0,0.0%,2,50.0%,2,50.0%,91,95.8%,4,4.2%,9,81.8%,2,18.2%,11,91.7%,1,8.3%,38,100.0%,0,0.0%,37,92.5%,3,7.5%,9,100.0%,0,0.0%,104,93.7%,7,6.3%,9,100.0%,Jan.csv 2017
Durham,1,100.0%,0,0.0%,118,81.9%,26,18.1%,3,100.0%,0,0.0%,17,85.0%,3,15.0%,0,0.0%,1,100.0%,112,91.1%,11,8.9%,4,100.0%,0,0.0%,30,90.9%,3,9.1%,14,100.0%,0,0.0%,25,78.1%,7,21.9%,12,100.0%,0,0.0%,104,91.2%,10,8.8%,3,100.0%,Jan.csv 2017
Dyfed Powys,1,100.0%,0,0.0%,82,83.7%,16,16.3%,6,85.7%,1,14.3%,4,100.0%,0,0.0%,0,0,0,0,44,91.7%,4,8.3%,10,100.0%,0,0.0%,10,71.4%,4,28.6%,38,92.7%,3,7.3%,20,80.0%,5,20.0%,7,87.5%,1,12.5%,93,90.3%,10,9.7%,2,100.0%,Jan.csv 2017
Essex,6,85.7%,1,14.3%,255,80.7%,61,19.3%,48,65.8%,25,34.2%,24,75.0%,8,25.0%,3,33.3%,6,66.7%,154,95.1%,8,4.9%,24,85.7%,4,14.3%,57,90.5%,6,9.5%,114,95.0%,6,5.0%,45,90.0%,5,10.0%,11,78.6%,3,21.4%,235,90.0%,26,10.0%,12,100.0%,Jan.csv 2017
Gloucestershire,0,-,0,-,75,83.3%,15,16.7%,2,100.0%,0,0.0%,9,100.0%,0,0.0%,2,100.0%,0,0.0%,78,97.5%,2,2.5%,10,90.9%,1,9.1%,16,100.0%,0,0.0%,38,100.0%,0,0.0%,16,88.9%,2,11.1%,2,100.0%,0,0.0%,83,95.4%,4,4.6%,7,100.0%,Jan.csv 2017
GreaterManchester,3,60.0%,2,40.0%,605,83.7%,118,16.3%,82,70.1%,35,29.9%,49,89.1%,6,10.9%,27,77.1%,8,22.9%,250,95.1%,13,4.9%,28,93.3%,2,6.7%,83,89.2%,10,10.8%,107,97.3%,3,2.7%,192,93.7%,13,6.3%,58,95.1%,3,4.9%,360,86.1%,58,13.9%,12,100.0%,Jan.csv 2017
Gwent,0,-,0,-,106,77.4%,31,22.6%,10,83.3%,2,16.7%,15,93.8%,1,6.3%,8,100.0%,0,0.0%,102,94.4%,6,5.6%,6,75.0%,2,25.0%,20,90.9%,2,9.1%,34,85.0%,6,15.0%,32,91.4%,3,8.6%,5,100.0%,0,0.0%,84,91.3%,8,8.7%,8,100.0%,Jan.csv 2017
Hampshire,3,100.0%,0,0.0%,293,85.4%,50,14.6%,38,82.6%,8,17.4%,34,91.9%,3,8.1%,4,100.0%,0,0.0%,226,94.6%,13,5.4%,13,81.3%,3,18.8%,68,95.8%,3,4.2%,68,89.5%,8,10.5%,64,91.4%,6,8.6%,15,75.0%,5,25.0%,245,90.4%,26,9.6%,20,100.0%,Jan.csv 2017
Hertfordshire,0,-,0,-,201,80.1%,50,19.9%,16,88.9%,2,11.1%,20,90.9%,2,9.1%,3,100.0%,0,0.0%,164,88.6%,21,11.4%,16,88.9%,2,11.1%,24,80.0%,6,20.0%,72,97.3%,2,2.7%,50,83.3%,10,16.7%,11,84.6%,2,15.4%,160,75.1%,53,24.9%,14,100.0%,Jan.csv 2017
Humberside,0,-,0,-,224,86.5%,35,13.5%,22,66.7%,11,33.3%,30,93.8%,2,6.3%,6,54.5%,5,45.5%,176,96.7%,6,3.3%,9,90.0%,1,10.0%,54,94.7%,3,5.3%,54,96.4%,2,3.6%,85,94.4%,5,5.6%,8,80.0%,2,20.0%,121,86.4%,19,13.6%,4,100.0%,Jan.csv 2017
Kent,5,100.0%,0,0.0%,319,76.9%,96,23.1%,18,78.3%,5,21.7%,36,87.8%,5,12.2%,4,50.0%,4,50.0%,168,89.4%,20,10.6%,28,96.6%,1,3.4%,64,88.9%,8,11.1%,87,94.6%,5,5.4%,78,83.0%,16,17.0%,25,92.6%,2,7.4%,194,90.7%,20,9.3%,21,100.0%,Jan.csv 2017
Lancashire,4,100.0%,0,0.0%,274,82.0%,60,18.0%,22,91.7%,2,8.3%,43,91.5%,4,8.5%,12,92.3%,1,7.7%,256,94.5%,15,5.5%,13,86.7%,2,13.3%,53,88.3%,7,11.7%,49,94.2%,3,5.8%,99,90.8%,10,9.2%,33,84.6%,6,15.4%,249,86.8%,38,13.2%,11,100.0%,Jan.csv 2017
Leicestershire,0,-,0,-,178,84.0%,34,16.0%,25,67.6%,12,32.4%,24,92.3%,2,7.7%,1,100.0%,0,0.0%,95,95.0%,5,5.0%,9,75.0%,3,25.0%,33,78.6%,9,21.4%,39,88.6%,5,11.4%,44,83.0%,9,17.0%,12,100.0%,0,0.0%,121,84.0%,23,16.0%,15,100.0%,Jan.csv 2017
Lincolnshire,2,100.0%,0,0.0%,126,80.8%,30,19.2%,3,100.0%,0,0.0%,14,100.0%,0,0.0%,1,100.0%,0,0.0%,95,95.0%,5,5.0%,11,91.7%,1,8.3%,39,97.5%,1,2.5%,39,88.6%,5,11.4%,58,89.2%,7,10.8%,11,84.6%,2,15.4%,146,79.8%,37,20.2%,34,100.0%,Jan.csv 2017
Merseyside,2,50.0%,2,50.0%,342,86.1%,55,13.9%,25,71.4%,10,28.6%,28,87.5%,4,12.5%,10,100.0%,0,0.0%,245,97.2%,7,2.8%,21,72.4%,8,27.6%,67,91.8%,6,8.2%,206,98.6%,3,1.4%,85,88.5%,11,11.5%,18,94.7%,1,5.3%,245,88.4%,32,11.6%,15,100.0%,Jan.csv 2017
Metropolitan and City,20,69.0%,9,31.0%,"1,713",69.5%,750,30.5%,162,71.1%,66,28.9%,214,82.0%,47,18.0%,93,71.0%,38,29.0%,997,84.9%,178,15.1%,266,85.3%,46,14.7%,253,76.2%,79,23.8%,"1,075",91.7%,97,8.3%,473,71.9%,185,28.1%,112,76.7%,34,23.3%,997,83.9%,192,16.1%,216,100.0%,Jan.csv 2017
Norfolk,0,-,0,-,182,89.2%,22,10.8%,12,92.3%,1,7.7%,14,100.0%,0,0.0%,5,83.3%,1,16.7%,165,94.8%,9,5.2%,22,95.7%,1,4.3%,30,81.1%,7,18.9%,50,98.0%,1,2.0%,81,93.1%,6,6.9%,10,90.9%,1,9.1%,104,94.5%,6,5.5%,10,100.0%,Jan.csv 2017
Northamptonshire,0,-,0,-,120,80.0%,30,20.0%,8,88.9%,1,11.1%,15,93.8%,1,6.3%,3,30.0%,7,70.0%,65,94.2%,4,5.8%,7,87.5%,1,12.5%,20,76.9%,6,23.1%,35,97.2%,1,2.8%,34,87.2%,5,12.8%,4,100.0%,0,0.0%,109,87.9%,15,12.1%,16,100.0%,Jan.csv 2017
Northumbria,1,100.0%,0,0.0%,241,71.5%,96,28.5%,28,71.8%,11,28.2%,40,87.0%,6,13.0%,7,77.8%,2,22.2%,303,94.4%,18,5.6%,14,93.3%,1,6.7%,62,82.7%,13,17.3%,65,94.2%,4,5.8%,153,87.9%,21,12.1%,9,90.0%,1,10.0%,234,86.7%,36,13.3%,12,100.0%,Jan.csv 2017
North Wales,0,-,0,-,168,80.0%,42,20.0%,23,79.3%,6,20.7%,24,85.7%,4,14.3%,1,100.0%,0,0.0%,115,95.8%,5,4.2%,11,84.6%,2,15.4%,33,84.6%,6,15.4%,29,100.0%,0,0.0%,63,94.0%,4,6.0%,11,84.6%,2,15.4%,124,93.9%,8,6.1%,5,100.0%,Jan.csv 2017
North Yorkshire,2,100.0%,0,0.0%,147,80.3%,36,19.7%,9,90.0%,1,10.0%,17,73.9%,6,26.1%,1,100.0%,0,0.0%,116,87.2%,17,12.8%,16,88.9%,2,11.1%,28,90.3%,3,9.7%,43,93.5%,3,6.5%,58,89.2%,7,10.8%,15,93.8%,1,6.3%,109,90.1%,12,9.9%,4,100.0%,Jan.csv 2017
Nottinghamshire,1,33.3%,2,66.7%,259,80.7%,62,19.3%,41,74.5%,14,25.5%,23,82.1%,5,17.9%,4,66.7%,2,33.3%,218,89.3%,26,10.7%,9,100.0%,0,0.0%,51,81.0%,12,19.0%,108,90.8%,11,9.2%,87,86.1%,14,13.9%,23,92.0%,2,8.0%,180,92.3%,15,7.7%,38,100.0%,Jan.csv 2017
South Wales,1,100.0%,0,0.0%,367,76.9%,110,23.1%,37,82.2%,8,17.8%,37,92.5%,3,7.5%,9,64.3%,5,35.7%,278,95.2%,14,4.8%,24,82.8%,5,17.2%,71,87.7%,10,12.3%,159,96.4%,6,3.6%,128,88.9%,16,11.1%,19,86.4%,3,13.6%,229,79.0%,61,21.0%,14,100.0%,Jan.csv 2017
South Yorkshire,1,100.0%,0,0.0%,230,78.8%,62,21.2%,11,91.7%,1,8.3%,33,84.6%,6,15.4%,5,50.0%,5,50.0%,255,94.1%,16,5.9%,6,85.7%,1,14.3%,61,85.9%,10,14.1%,60,98.4%,1,1.6%,100,93.5%,7,6.5%,15,100.0%,0,0.0%,208,90.8%,21,9.2%,17,100.0%,Jan.csv 2017
Staffordshire,1,100.0%,0,0.0%,201,77.0%,60,23.0%,37,84.1%,7,15.9%,24,82.8%,5,17.2%,1,100.0%,0,0.0%,160,92.5%,13,7.5%,13,61.9%,8,38.1%,40,88.9%,5,11.1%,77,92.8%,6,7.2%,69,85.2%,12,14.8%,18,100.0%,0,0.0%,166,83.0%,34,17.0%,13,100.0%,Jan.csv 2017
Suffolk,1,100.0%,0,0.0%,106,85.5%,18,14.5%,6,100.0%,0,0.0%,7,100.0%,0,0.0%,2,66.7%,1,33.3%,64,98.5%,1,1.5%,14,87.5%,2,12.5%,27,96.4%,1,3.6%,34,97.1%,1,2.9%,35,83.3%,7,16.7%,7,87.5%,1,12.5%,73,91.3%,7,8.8%,8,100.0%,Jan.csv 2017
Surrey,1,100.0%,0,0.0%,124,79.0%,33,21.0%,20,87.0%,3,13.0%,10,90.9%,1,9.1%,0,0,0,0,50,89.3%,6,10.7%,26,92.9%,2,7.1%,12,85.7%,2,14.3%,36,100.0%,0,0.0%,25,92.6%,2,7.4%,10,83.3%,2,16.7%,96,90.6%,10,9.4%,5,100.0%,Jan.csv 2017
Sussex,0,-,0,-,206,81.7%,46,18.3%,32,71.1%,13,28.9%,29,93.5%,2,6.5%,4,100.0%,0,0.0%,151,96.8%,5,3.2%,18,94.7%,1,5.3%,32,86.5%,5,13.5%,82,94.3%,5,5.7%,53,82.8%,11,17.2%,10,76.9%,3,23.1%,216,93.1%,16,6.9%,17,100.0%,Jan.csv 2017
Thames Valley,2,100.0%,0,0.0%,315,70.3%,133,29.7%,44,57.1%,33,42.9%,26,78.8%,7,21.2%,9,69.2%,4,30.8%,211,91.7%,19,8.3%,29,93.5%,2,6.5%,58,86.6%,9,13.4%,106,95.5%,5,4.5%,108,77.7%,31,22.3%,25,75.8%,8,24.2%,297,85.8%,49,14.2%,31,100.0%,Jan.csv 2017
Warwickshire,2,100.0%,0,0.0%,86,84.3%,16,15.7%,4,66.7%,2,33.3%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,78,94.0%,5,6.0%,1,100.0%,0,0.0%,21,80.8%,5,19.2%,30,93.8%,2,6.3%,26,81.3%,6,18.8%,8,88.9%,1,11.1%,115,90.6%,12,9.4%,4,100.0%,Jan.csv 2017
West Mercia,1,100.0%,0,0.0%,214,82.9%,44,17.1%,23,65.7%,12,34.3%,15,83.3%,3,16.7%,3,100.0%,0,0.0%,170,96.6%,6,3.4%,14,82.4%,3,17.6%,26,72.2%,10,27.8%,72,91.1%,7,8.9%,77,76.2%,24,23.8%,14,82.4%,3,17.6%,229,89.5%,27,10.5%,6,100.0%,Jan.csv 2017
West Midlands,4,100.0%,0,0.0%,686,80.3%,168,19.7%,62,70.5%,26,29.5%,57,89.1%,7,10.9%,41,68.3%,19,31.7%,589,92.2%,50,7.8%,74,85.1%,13,14.9%,102,92.7%,8,7.3%,218,94.8%,12,5.2%,200,77.8%,57,22.2%,64,88.9%,8,11.1%,385,88.3%,51,11.7%,81,100.0%,Jan.csv 2017
West Yorkshire,1,100.0%,0,0.0%,484,80.4%,118,19.6%,63,70.8%,26,29.2%,66,83.5%,13,16.5%,18,72.0%,7,28.0%,370,93.4%,26,6.6%,33,91.7%,3,8.3%,109,89.3%,13,10.7%,166,95.4%,8,4.6%,113,84.3%,21,15.7%,41,89.1%,5,10.9%,330,82.3%,71,17.7%,38,100.0%,Jan.csv 2017
Wiltshire,1,100.0%,0,0.0%,101,86.3%,16,13.7%,9,100.0%,0,0.0%,13,86.7%,2,13.3%,4,100.0%,0,0.0%,64,97.0%,2,3.0%,13,92.9%,1,7.1%,20,95.2%,1,4.8%,42,100.0%,0,0.0%,36,94.7%,2,5.3%,6,100.0%,0,0.0%,79,87.8%,11,12.2%,3,100.0%,Jan.csv 2017
National,54,73.0%,20,27.0%,"10,056",79.2%,"2,644",20.8%,994,74.7%,337,25.3%,"1,099",85.4%,188,14.6%,370,80.1%,92,19.9%,"6,192",91.4%,579,8.6%,867,86.1%,140,13.9%,"1,767",87.8%,245,12.2%,"3,465",92.4%,283,7.6%,"3,296",85.3%,570,14.7%,739,86.1%,119,13.9%,"7,167",86.1%,"1,160",13.9%,948,100.0%,Aug.csv 2017
Avon and Somerset,2,66.7%,1,33.3%,255,80.4%,62,19.6%,41,82.0%,9,18.0%,29,90.6%,3,9.4%,8,66.7%,4,33.3%,140,95.2%,7,4.8%,25,92.6%,2,7.4%,60,85.7%,10,14.3%,53,93.0%,4,7.0%,75,89.3%,9,10.7%,14,82.4%,3,17.6%,184,89.8%,21,10.2%,33,100.0%,Aug.csv 2017
Bedfordshire,0,-,0,-,115,86.5%,18,13.5%,4,100.0%,0,0.0%,8,88.9%,1,11.1%,6,100.0%,0,0.0%,68,87.2%,10,12.8%,7,87.5%,1,12.5%,9,75.0%,3,25.0%,17,89.5%,2,10.5%,19,76.0%,6,24.0%,5,83.3%,1,16.7%,97,79.5%,25,20.5%,22,100.0%,Aug.csv 2017
Cambridgeshire,1,100.0%,0,0.0%,108,80.0%,27,20.0%,13,92.9%,1,7.1%,12,92.3%,1,7.7%,0,0.0%,1,100.0%,65,95.6%,3,4.4%,9,100.0%,0,0.0%,17,94.4%,1,5.6%,23,92.0%,2,8.0%,23,92.0%,2,8.0%,6,60.0%,4,40.0%,70,90.9%,7,9.1%,16,100.0%,Aug.csv 2017
Cheshire,3,75.0%,1,25.0%,263,80.4%,64,19.6%,18,62.1%,11,37.9%,17,85.0%,3,15.0%,7,77.8%,2,22.2%,145,91.2%,14,8.8%,15,100.0%,0,0.0%,40,93.0%,3,7.0%,103,96.3%,4,3.7%,123,88.5%,16,11.5%,12,85.7%,2,14.3%,230,84.9%,41,15.1%,12,100.0%,Aug.csv 2017
Cleveland,1,50.0%,1,50.0%,118,76.6%,36,23.4%,10,90.9%,1,9.1%,22,66.7%,11,33.3%,7,87.5%,1,12.5%,175,97.2%,5,2.8%,15,78.9%,4,21.1%,30,88.2%,4,11.8%,48,92.3%,4,7.7%,46,85.2%,8,14.8%,7,100.0%,0,0.0%,55,84.6%,10,15.4%,4,100.0%,Aug.csv 2017
Cumbria,0,-,0,-,102,90.3%,11,9.7%,3,100.0%,0,0.0%,8,72.7%,3,27.3%,5,83.3%,1,16.7%,71,93.4%,5,6.6%,7,87.5%,1,12.5%,19,100.0%,0,0.0%,19,100.0%,0,0.0%,21,95.5%,1,4.5%,4,100.0%,0,0.0%,99,94.3%,6,5.7%,2,100.0%,Aug.csv 2017
Derbyshire,0,-,0,-,173,83.2%,35,16.8%,13,92.9%,1,7.1%,17,100.0%,0,0.0%,10,100.0%,0,0.0%,131,91.0%,13,9.0%,18,100.0%,0,0.0%,31,93.9%,2,6.1%,51,87.9%,7,12.1%,62,92.5%,5,7.5%,11,91.7%,1,8.3%,100,88.5%,13,11.5%,11,100.0%,Aug.csv 2017
Devon and Cornwall,1,100.0%,0,0.0%,195,87.1%,29,12.9%,8,72.7%,3,27.3%,33,94.3%,2,5.7%,2,100.0%,0,0.0%,111,96.5%,4,3.5%,7,87.5%,1,12.5%,37,92.5%,3,7.5%,56,98.2%,1,1.8%,72,90.0%,8,10.0%,8,66.7%,4,33.3%,178,89.9%,20,10.1%,11,100.0%,Aug.csv 2017
Dorset,1,50.0%,1,50.0%,132,85.7%,22,14.3%,17,94.4%,1,5.6%,8,80.0%,2,20.0%,3,50.0%,3,50.0%,68,97.1%,2,2.9%,5,83.3%,1,16.7%,24,85.7%,4,14.3%,41,95.3%,2,4.7%,53,85.5%,9,14.5%,11,91.7%,1,8.3%,96,84.2%,18,15.8%,7,100.0%,Aug.csv 2017
Durham,0,-,0,-,134,88.7%,17,11.3%,7,77.8%,2,22.2%,19,95.0%,1,5.0%,2,66.7%,1,33.3%,139,95.2%,7,4.8%,6,100.0%,0,0.0%,22,91.7%,2,8.3%,14,100.0%,0,0.0%,24,100.0%,0,0.0%,7,87.5%,1,12.5%,103,98.1%,2,1.9%,7,100.0%,Aug.csv 2017
Dyfed Powys,1,100.0%,0,0.0%,74,78.7%,20,21.3%,7,63.6%,4,36.4%,3,75.0%,1,25.0%,0,0,0,0,46,93.9%,3,6.1%,1,100.0%,0,0.0%,14,100.0%,0,0.0%,39,95.1%,2,4.9%,26,96.3%,1,3.7%,4,100.0%,0,0.0%,66,93.0%,5,7.0%,5,100.0%,Aug.csv 2017
